frame,xmin,xmax,ymin,ymax,class_id
0055.jpg,184,204,221,248,1
0055.jpg,274,299,212,241,1
0056.jpg,172,206,48,90,1
0056.jpg,187,221,55,94,1
0057.jpg,63,108,108,156,1
0057.jpg,53,99,120,164,1
0058.jpg,17,59,29,69,1
0058.jpg,1,41,38,77,1
0058.jpg,133,155,100,125,1
0058.jpg,123,151,93,125,1
0059.jpg,93,122,77,136,1
0059.jpg,38,55,42,87,1
0059.jpg,7,21,56,71,1
0059.jpg,47,70,97,152,1
0059.jpg,1,33,173,204,1
0060.jpg,215,261,83,124,1
0060.jpg,223,268,92,131,1
0060.jpg,245,278,67,98,1
0061.jpg,39,65,244,294,1
0061.jpg,61,95,248,299,1
0062.jpg,1,19,105,157,1
0063.jpg,78,116,4,48,1
0064.jpg,68,131,60,103,1
0065.jpg,196,266,220,258,1
0066.jpg,210,250,18,84,1
0066.jpg,235,271,22,78,1
0067.jpg,86,131,47,89,1
0067.jpg,1,41,45,88,1
0068.jpg,206,226,172,214,1
0068.jpg,224,245,172,215,1
0068.jpg,242,274,228,272,1
0068.jpg,209,260,225,280,2
0068.jpg,197,247,12,51,2
0069.jpg,210,264,85,104,1
0069.jpg,204,254,121,146,2
0072.jpg,261,299,69,104,1
0072.jpg,255,299,91,122,1
0072.jpg,250,299,117,144,1
0072.jpg,245,299,134,164,1
0073.jpg,1,34,77,101,1
0073.jpg,1,22,99,123,1
0073.jpg,1,18,124,142,1
0073.jpg,1,10,143,169,1
0074.jpg,173,210,202,244,1
0074.jpg,217,257,202,237,2
0075.jpg,2,45,153,204,2
0076.jpg,155,175,224,248,1
0076.jpg,143,166,213,242,1
0076.jpg,125,158,211,238,1
0076.jpg,187,231,58,93,2
0078.jpg,226,255,225,268,1
0078.jpg,231,260,221,264,1
0078.jpg,238,271,219,261,1
0078.jpg,218,247,208,225,1
0079.jpg,255,299,249,261,1
0079.jpg,254,299,253,267,1
0079.jpg,251,299,264,278,1
0080.jpg,76,154,135,167,1
0080.jpg,213,286,126,151,1
0081.jpg,78,103,82,110,1
0081.jpg,89,124,78,127,1
0081.jpg,100,132,77,122,1
0081.jpg,110,142,69,116,1
0081.jpg,130,152,61,86,1
0082.jpg,92,125,107,152,1
0082.jpg,104,131,114,157,1
0082.jpg,115,149,118,158,1
0083.jpg,232,250,154,207,1
0083.jpg,240,267,164,209,1
0083.jpg,250,278,166,213,1
0083.jpg,239,269,107,160,1
0083.jpg,253,278,117,159,1
0083.jpg,259,292,119,161,1
0083.jpg,275,298,126,169,1
0083.jpg,280,297,151,166,1
0083.jpg,277,299,106,128,1
0084.jpg,180,207,183,235,1
0084.jpg,196,222,186,238,1
0085.jpg,154,198,20,64,1
0085.jpg,170,217,22,68,1
0086.jpg,207,235,142,185,1
0086.jpg,243,263,162,213,1
0086.jpg,195,228,195,234,1
0087.jpg,68,118,80,149,1
0090.jpg,15,71,102,124,1
0090.jpg,68,117,109,141,1
0090.jpg,118,164,129,153,1
0090.jpg,125,163,144,171,1
0090.jpg,131,172,167,190,2
0091.jpg,4,58,213,246,1
0092.jpg,21,82,182,213,1
0092.jpg,20,76,201,227,1
0092.jpg,46,83,45,70,1
0093.jpg,229,262,195,231,1
0093.jpg,192,233,210,253,1
0093.jpg,207,243,224,253,1
0093.jpg,201,239,250,283,1
0093.jpg,234,261,244,289,1
0094.jpg,224,285,24,41,1
0094.jpg,224,281,34,52,1
0094.jpg,225,286,47,64,1
0095.jpg,29,58,198,249,1
0095.jpg,73,117,235,285,1
0095.jpg,68,95,207,242,2
0096.jpg,260,295,51,102,1
0097.jpg,36,55,106,131,1
0097.jpg,172,231,63,122,2
0097.jpg,42,77,70,89,2
0097.jpg,38,91,90,107,1
0099.jpg,88,122,101,171,1
0100.jpg,76,155,16,46,1
0100.jpg,82,164,32,62,1
0101.jpg,231,256,211,298,1
0101.jpg,249,278,217,298,1
0102.jpg,140,201,9,56,2
0102.jpg,204,247,12,34,2
0102.jpg,203,250,25,43,2
0102.jpg,223,268,25,49,2
0102.jpg,1,66,73,113,2
0103.jpg,23,100,69,111,2
0103.jpg,1,22,86,121,2
0104.jpg,36,65,25,65,1
0104.jpg,271,295,36,75,1
0104.jpg,281,299,38,75,1
0104.jpg,284,299,33,59,1
0105.jpg,43,106,18,49,1
0105.jpg,49,112,42,68,1
0105.jpg,1,19,24,52,1
0106.jpg,144,189,170,203,1
0106.jpg,180,225,197,232,1
0108.jpg,44,90,15,64,1
0108.jpg,72,105,1,31,1
0108.jpg,30,72,49,102,1
0109.jpg,236,296,1,22,1
0110.jpg,1,46,64,107,1
0110.jpg,60,88,21,58,2
0110.jpg,52,77,174,192,1
0113.jpg,1,49,6,37,1
0113.jpg,1,43,29,55,1
0115.jpg,217,257,92,142,1
0115.jpg,231,268,93,139,1
0115.jpg,242,274,87,136,1
0115.jpg,250,284,83,133,1
0115.jpg,256,292,80,132,1
0115.jpg,264,299,76,124,1
0116.jpg,13,48,101,142,1
0116.jpg,31,61,118,165,1
0116.jpg,38,76,125,173,1
0117.jpg,135,164,98,121,1
0117.jpg,124,163,111,137,1
0117.jpg,124,154,127,145,1
0118.jpg,117,144,1,32,1
0118.jpg,138,172,11,49,2
0119.jpg,39,99,181,208,1
0120.jpg,248,282,92,131,1
0120.jpg,219,250,214,248,1
0120.jpg,272,295,156,187,1
0121.jpg,201,229,234,270,1
0121.jpg,179,205,267,298,1
0121.jpg,204,222,280,299,1
0121.jpg,237,249,256,270,1
0122.jpg,154,184,1,34,1
0122.jpg,189,217,1,29,1
0123.jpg,265,290,36,51,1
0124.jpg,208,282,11,56,2
0125.jpg,238,259,88,127,1
0126.jpg,134,173,147,162,1
0126.jpg,165,188,122,163,1
0126.jpg,163,185,131,163,1
0126.jpg,137,169,162,176,1
0127.jpg,31,66,276,299,2
0128.jpg,3,54,95,120,2
0129.jpg,108,181,65,107,2
0130.jpg,114,144,212,257,1
0130.jpg,107,125,255,291,1
0131.jpg,249,293,84,114,1
0132.jpg,4,43,108,120,1
0132.jpg,1,20,78,110,1
0132.jpg,1,19,120,136,1
0133.jpg,117,202,260,299,2
0133.jpg,156,198,216,243,1
0134.jpg,248,297,108,136,1
0134.jpg,246,296,118,142,1
0134.jpg,241,293,123,149,1
0134.jpg,234,286,129,155,1
0135.jpg,103,187,70,173,2
0135.jpg,1,45,91,133,2
0136.jpg,88,144,102,158,1
0137.jpg,194,218,62,124,1
0137.jpg,213,246,66,122,1
0138.jpg,112,194,15,68,2
0138.jpg,117,154,48,69,1
0138.jpg,104,126,1,21,1
0139.jpg,54,80,57,78,1
0140.jpg,142,197,1,21,1
0142.jpg,192,280,186,241,2
0143.jpg,199,260,199,240,1
0143.jpg,208,294,233,283,1
0144.jpg,10,86,259,299,2
0145.jpg,106,204,108,172,2
0146.jpg,263,299,204,258,1
0147.jpg,210,264,8,48,1
0148.jpg,56,104,145,197,1
0148.jpg,48,94,139,187,1
0148.jpg,22,78,131,175,1
0149.jpg,145,199,214,248,1
0149.jpg,147,198,223,256,1
0149.jpg,142,196,231,264,1
0149.jpg,139,193,236,272,1
0149.jpg,135,189,243,277,1
0149.jpg,130,187,251,283,1
0149.jpg,131,181,262,288,1
0149.jpg,130,178,267,292,1
0149.jpg,127,167,276,299,1
0151.jpg,14,73,139,180,1
0151.jpg,37,67,111,145,1
0151.jpg,272,282,99,119,1
0152.jpg,100,170,12,68,2
0153.jpg,234,299,17,32,1
0153.jpg,238,299,28,52,1
0154.jpg,8,77,24,46,1
0154.jpg,8,60,11,29,1
0155.jpg,155,204,21,80,1
0155.jpg,146,194,16,73,1
0155.jpg,142,188,11,65,1
0155.jpg,131,182,1,59,1
0156.jpg,4,72,142,185,2
0157.jpg,200,236,23,57,1
0157.jpg,265,296,33,77,1
0158.jpg,181,210,121,158,1
0158.jpg,245,266,116,157,1
0158.jpg,215,233,124,156,1
0159.jpg,218,248,80,121,1
0160.jpg,92,161,133,181,2
0160.jpg,140,162,212,256,1
0162.jpg,52,89,157,176,1
0162.jpg,50,91,170,195,1
0163.jpg,232,299,28,43,1
0163.jpg,230,299,41,59,1
0163.jpg,227,299,51,71,1
0164.jpg,72,125,246,276,1
0165.jpg,232,277,79,119,1
0165.jpg,211,258,101,143,1
0165.jpg,136,182,77,128,2
0165.jpg,210,247,145,184,1
0165.jpg,253,277,136,172,1
0165.jpg,200,222,160,197,1
0165.jpg,182,212,108,144,1
0165.jpg,160,192,125,159,1
0166.jpg,166,188,214,273,1
0167.jpg,28,73,120,144,1
0167.jpg,1,37,96,143,2
0168.jpg,161,264,104,199,2
0168.jpg,178,209,35,74,1
0169.jpg,7,56,70,113,1
0170.jpg,170,213,226,261,1
0172.jpg,141,172,100,128,1
0172.jpg,171,197,123,145,1
0172.jpg,158,184,138,166,1
0173.jpg,97,120,262,299,1
0173.jpg,86,109,262,299,1
0173.jpg,67,101,256,299,1
0173.jpg,58,81,249,299,1
0174.jpg,82,122,71,103,1
0174.jpg,101,127,36,99,1
0174.jpg,118,148,39,97,1
0174.jpg,142,165,39,92,1
0175.jpg,166,191,44,93,1
0175.jpg,283,299,24,45,1
0176.jpg,243,263,99,151,1
0176.jpg,252,268,97,149,1
0176.jpg,257,277,95,148,1
0176.jpg,266,291,93,148,1
0176.jpg,272,299,146,185,1
0177.jpg,220,286,130,161,1
0178.jpg,32,60,237,291,1
0179.jpg,32,53,1,20,1
0179.jpg,1,33,230,265,1
0180.jpg,134,192,108,181,1
0180.jpg,148,200,128,201,1
0180.jpg,68,143,183,252,1
0180.jpg,89,149,193,257,1
0180.jpg,53,78,260,282,1
0182.jpg,121,155,202,213,1
0182.jpg,120,151,210,222,1
0182.jpg,118,152,219,231,1
0182.jpg,116,152,225,237,1
0182.jpg,115,152,233,244,1
0182.jpg,117,154,238,253,1
0182.jpg,86,124,201,250,2
0183.jpg,65,90,45,79,1
0183.jpg,29,60,38,61,1
0183.jpg,33,66,31,55,1
0185.jpg,32,118,125,161,1
0185.jpg,36,118,143,182,1
0185.jpg,39,122,164,204,1
0185.jpg,42,126,184,221,1
0185.jpg,46,132,202,242,1
0185.jpg,77,160,219,259,1
0186.jpg,253,299,248,281,1
0187.jpg,202,243,199,242,1
0187.jpg,234,277,214,275,1
0187.jpg,240,264,218,248,1
0188.jpg,147,206,110,138,1
0188.jpg,1,28,95,119,1
0189.jpg,41,72,60,75,1
0189.jpg,2,40,59,80,1
0189.jpg,4,43,69,89,1
0189.jpg,10,43,79,93,1
0189.jpg,11,42,85,100,1
0189.jpg,21,48,262,291,1
0189.jpg,1,26,250,265,1
0190.jpg,125,143,152,207,1
0190.jpg,134,149,150,201,1
0190.jpg,145,160,148,200,1
0190.jpg,156,169,148,201,1
0190.jpg,120,150,202,242,1
0191.jpg,255,273,44,103,1
0191.jpg,269,291,43,103,1
0191.jpg,285,299,43,102,1
0191.jpg,231,246,46,104,1
0191.jpg,123,177,35,73,2
0192.jpg,157,215,16,32,2
0192.jpg,156,218,25,41,2
0192.jpg,150,220,34,54,2
0192.jpg,1,35,132,160,2
0192.jpg,1,37,150,185,2
0192.jpg,1,46,163,196,2
0192.jpg,11,54,174,210,2
0193.jpg,243,261,189,217,1
0194.jpg,93,132,40,104,1
0195.jpg,161,209,107,135,1
0196.jpg,39,85,194,263,1
0197.jpg,126,159,47,67,1
0198.jpg,6,57,76,104,1
0199.jpg,46,71,62,78,1
0200.jpg,186,252,64,96,1
0201.jpg,190,211,99,144,1
0201.jpg,163,183,101,146,1
0201.jpg,174,192,156,203,1
0201.jpg,183,201,156,205,1
0201.jpg,191,208,154,199,1
0201.jpg,198,216,153,199,1
0202.jpg,65,123,114,139,1
0202.jpg,62,120,130,152,1
0202.jpg,59,120,143,164,1
0202.jpg,49,63,118,157,1
0202.jpg,124,166,130,172,2
0202.jpg,22,51,119,158,2
0203.jpg,77,166,82,144,2
0203.jpg,142,177,62,108,2
0204.jpg,164,216,95,122,1
0205.jpg,1,68,212,246,2
0206.jpg,60,81,167,205,1
0207.jpg,63,107,4,53,1
0208.jpg,157,209,72,103,1
0208.jpg,179,245,275,299,1
0209.jpg,46,104,98,147,1
0209.jpg,228,266,94,112,1
0210.jpg,23,50,138,197,1
0210.jpg,46,69,134,198,1
0210.jpg,195,240,19,59,2
0211.jpg,252,275,131,154,1
0212.jpg,96,140,3,45,1
0213.jpg,238,289,68,98,1
0213.jpg,242,291,78,106,1
0213.jpg,246,292,87,115,1
0214.jpg,128,191,235,268,1
0214.jpg,138,194,247,281,1
0214.jpg,125,188,264,296,1
0216.jpg,1,47,88,167,2
0217.jpg,261,284,21,56,1
0217.jpg,286,299,32,75,1
0218.jpg,1,49,37,62,1
0218.jpg,2,49,51,77,1
0218.jpg,1,30,68,91,1
0220.jpg,143,181,107,153,1
0220.jpg,192,220,93,143,1
0221.jpg,75,139,128,167,1
0221.jpg,81,145,141,179,1
0221.jpg,149,169,185,229,1
0221.jpg,161,191,170,229,1
0222.jpg,142,179,191,258,1
0222.jpg,67,107,114,154,1
0223.jpg,1,76,121,188,1
0224.jpg,94,146,135,175,1
0224.jpg,82,134,151,189,1
0224.jpg,76,135,165,208,1
0224.jpg,69,126,198,237,1
0224.jpg,58,112,218,265,1
0225.jpg,69,83,1,40,1
0225.jpg,81,98,1,45,1
0226.jpg,48,82,72,91,1
0226.jpg,43,80,104,120,1
0226.jpg,45,83,124,145,1
0226.jpg,93,128,176,209,1
0227.jpg,105,131,150,190,1
0227.jpg,118,144,152,188,1
0227.jpg,163,197,114,155,1
0227.jpg,154,183,119,150,1
0227.jpg,207,231,166,204,1
0227.jpg,159,204,168,184,1
0227.jpg,226,255,74,91,1
0227.jpg,224,240,57,85,1
0228.jpg,157,192,267,299,1
0228.jpg,279,299,45,106,1
0229.jpg,236,277,25,57,1
0229.jpg,236,285,250,284,1
0229.jpg,240,272,271,294,1
0230.jpg,172,219,238,291,1
0231.jpg,210,258,11,39,1
0232.jpg,75,119,250,287,1
0232.jpg,72,113,265,299,1
0233.jpg,207,231,123,180,1
0233.jpg,16,54,32,74,1
0233.jpg,39,71,27,66,1
0234.jpg,115,141,30,62,2
0235.jpg,103,165,36,64,1
0235.jpg,102,165,70,97,1
0236.jpg,2,31,163,201,2
0236.jpg,38,64,157,186,1
0236.jpg,9,41,159,198,1
0237.jpg,112,159,129,180,1
0237.jpg,131,185,136,188,1
0238.jpg,62,114,137,163,1
0239.jpg,251,261,50,61,1
0239.jpg,260,267,48,61,1
0239.jpg,276,299,110,135,1
0240.jpg,5,40,231,294,1
0241.jpg,243,291,258,296,1
0242.jpg,203,232,28,51,1
0242.jpg,216,239,47,64,1
0242.jpg,263,296,117,148,1
0242.jpg,210,234,37,57,1
0243.jpg,127,136,61,74,1
0243.jpg,135,146,59,74,1
0243.jpg,134,143,44,63,1
0243.jpg,114,128,44,65,1
0244.jpg,269,299,154,170,1
0244.jpg,269,299,133,148,1
0245.jpg,125,149,105,164,1
0245.jpg,108,133,104,161,1
0245.jpg,280,299,19,31,1
0246.jpg,5,35,94,146,1
0246.jpg,22,36,102,140,1
0247.jpg,142,179,248,299,1
0247.jpg,95,124,268,299,1
0247.jpg,53,66,278,299,1
0248.jpg,266,299,73,117,1
0249.jpg,211,242,1,65,1
0251.jpg,28,85,22,47,1
0252.jpg,28,90,80,131,1
0253.jpg,159,183,14,46,1
0253.jpg,180,204,27,53,1
0253.jpg,210,253,1,25,1
0253.jpg,198,240,37,79,2
0253.jpg,146,173,8,37,2
0254.jpg,178,196,228,252,1
0254.jpg,163,185,226,250,1
0254.jpg,152,175,223,250,1
0254.jpg,162,200,182,223,2
0255.jpg,225,299,1,78,1
0256.jpg,258,299,215,244,1
0257.jpg,83,119,94,139,1
0257.jpg,122,156,88,136,1
0258.jpg,182,223,62,130,1
0258.jpg,163,205,57,123,1
0258.jpg,201,250,1,54,1
0259.jpg,2,88,132,232,1
0260.jpg,6,48,54,79,1
0261.jpg,270,288,216,277,1
0261.jpg,288,299,219,280,1
0262.jpg,34,86,228,283,1
0263.jpg,154,185,31,78,1
0263.jpg,168,201,27,73,1
0264.jpg,84,144,197,222,1
0264.jpg,84,126,216,242,1
0265.jpg,236,284,126,149,1
0265.jpg,230,277,137,161,1
0266.jpg,234,255,202,234,1
0267.jpg,105,146,122,173,1
0269.jpg,277,297,1,27,1
0270.jpg,3,69,1,50,1
0271.jpg,29,97,197,225,1
0271.jpg,110,172,218,247,1
0271.jpg,177,235,193,242,1
0272.jpg,220,265,230,269,1
0273.jpg,226,269,194,210,1
0273.jpg,228,269,206,221,1
0274.jpg,102,119,72,118,1
0274.jpg,109,132,72,121,1
0274.jpg,125,149,76,119,1
0274.jpg,152,163,83,103,1
0274.jpg,152,163,99,121,1
0274.jpg,167,189,98,134,1
0274.jpg,101,128,1,42,1
0274.jpg,59,82,1,22,1
0274.jpg,32,61,1,26,1
0274.jpg,75,94,22,49,1
0275.jpg,11,69,85,101,1
0275.jpg,12,67,94,109,1
0275.jpg,102,159,143,170,1
0275.jpg,100,154,150,179,1
0276.jpg,48,104,194,247,1
0277.jpg,85,140,239,250,1
0277.jpg,93,142,248,263,1
0277.jpg,151,181,236,265,1
0278.jpg,226,257,79,111,1
0278.jpg,152,184,47,85,1
0279.jpg,145,216,137,205,2
0280.jpg,226,269,74,111,1
0280.jpg,216,257,88,125,1
0280.jpg,205,250,99,135,1
0280.jpg,156,186,237,254,1
0281.jpg,135,211,26,68,1
0281.jpg,190,239,64,88,1
0281.jpg,145,191,57,90,1
0281.jpg,138,173,65,93,1
0282.jpg,87,132,99,159,1
0282.jpg,122,165,91,154,1
0282.jpg,143,180,115,160,1
0283.jpg,190,257,86,142,2
0284.jpg,236,290,105,147,1
0286.jpg,168,209,239,264,1
0287.jpg,126,166,250,274,1
0287.jpg,160,217,256,282,1
0287.jpg,155,214,274,299,1
0288.jpg,15,45,11,47,1
0289.jpg,1,69,170,213,1
0289.jpg,70,146,195,241,1
0289.jpg,77,159,218,264,1
0289.jpg,13,45,267,295,1
0289.jpg,7,30,260,283,1
0290.jpg,142,161,123,147,1
0291.jpg,75,112,252,289,1
0291.jpg,56,103,268,299,1
0292.jpg,136,161,36,96,1
0292.jpg,151,175,47,90,1
0292.jpg,63,81,26,82,1
0292.jpg,39,65,12,82,1
0293.jpg,43,94,13,34,1
0293.jpg,44,92,24,46,1
0293.jpg,41,90,38,60,1
0294.jpg,39,92,153,184,1
0294.jpg,29,85,167,198,1
0295.jpg,24,122,1,69,1
0296.jpg,115,132,102,149,1
0296.jpg,133,151,100,144,1
0297.jpg,148,244,1,18,1
0298.jpg,147,205,5,33,1
0298.jpg,144,200,24,50,1
0299.jpg,158,190,70,126,1
0299.jpg,171,207,74,132,1
0300.jpg,2,28,101,166,1
0300.jpg,66,106,108,152,1
0301.jpg,196,224,148,171,1
0301.jpg,71,148,273,299,1
0302.jpg,146,208,17,33,1
0302.jpg,145,208,30,44,1
0302.jpg,139,197,41,55,1
0303.jpg,239,265,25,65,1
0303.jpg,282,299,42,76,1
0304.jpg,36,59,129,160,1
0304.jpg,31,49,100,114,1
0304.jpg,47,68,110,125,1
0305.jpg,150,190,238,276,1
0305.jpg,183,219,224,269,1
0305.jpg,133,168,267,299,2
0305.jpg,171,204,273,299,2
0305.jpg,203,228,270,299,2
0306.jpg,5,27,196,215,1
0307.jpg,195,254,33,90,1
0308.jpg,1,33,128,205,1
0309.jpg,14,36,213,268,1
0309.jpg,1,22,201,283,1
0310.jpg,128,160,30,82,1
0310.jpg,134,171,35,86,1
0310.jpg,146,178,46,97,1
0310.jpg,145,190,10,41,1
0311.jpg,171,201,116,168,1
0311.jpg,183,219,110,162,1
0312.jpg,190,230,77,116,1
0312.jpg,261,295,54,107,1
0312.jpg,272,299,58,112,1
0314.jpg,134,219,7,73,1
0316.jpg,2,44,127,161,1
0316.jpg,32,102,90,153,2
0317.jpg,120,183,25,121,1
0317.jpg,139,172,19,64,1
0317.jpg,95,129,1,32,1
0318.jpg,229,285,57,89,1
0321.jpg,109,188,226,287,1
0323.jpg,69,115,13,51,1
0323.jpg,82,127,23,62,1
0325.jpg,25,95,277,299,2
0326.jpg,97,131,25,102,1
0326.jpg,116,150,19,91,1
0327.jpg,258,294,61,103,1
0328.jpg,30,70,216,261,1
0329.jpg,261,283,17,54,1
0329.jpg,220,250,1,34,1
0329.jpg,211,235,1,30,1
0330.jpg,19,56,129,162,1
0330.jpg,20,61,1,28,1
0331.jpg,32,82,122,185,1
0331.jpg,50,85,116,159,1
0331.jpg,250,299,263,298,1
0332.jpg,1,39,253,299,1
0333.jpg,203,236,99,158,1
0333.jpg,233,266,108,166,1
0336.jpg,262,288,95,137,1
0336.jpg,278,299,92,136,1
0336.jpg,260,299,154,173,1
0337.jpg,168,226,239,267,1
0337.jpg,161,222,254,288,1
0337.jpg,247,282,265,290,1
0339.jpg,133,185,265,299,1
0340.jpg,11,57,74,126,1
0340.jpg,1,48,85,139,1
0340.jpg,1,42,97,153,1
0341.jpg,110,137,74,134,1
0342.jpg,16,65,175,233,1
0343.jpg,241,296,94,114,1
0345.jpg,268,293,65,123,1
0346.jpg,53,76,96,141,1
0346.jpg,29,63,87,141,1
0347.jpg,45,87,74,99,1
0348.jpg,79,106,246,299,1
0349.jpg,27,80,181,243,1
0349.jpg,4,77,246,276,1
0350.jpg,132,183,38,91,1
0350.jpg,122,175,1,47,1
0350.jpg,101,134,1,27,1
0351.jpg,179,221,55,99,1
0351.jpg,185,229,81,121,1
0352.jpg,54,110,151,202,1
0352.jpg,54,95,160,202,1
0353.jpg,129,175,274,299,1
0354.jpg,232,286,210,239,1
0355.jpg,256,299,180,235,1
0355.jpg,270,299,202,247,1
0357.jpg,67,108,261,299,1
0358.jpg,95,136,192,247,1
0358.jpg,82,123,189,242,1
0359.jpg,215,271,56,108,1
0359.jpg,281,299,22,57,1
0360.jpg,6,48,108,194,1
0360.jpg,183,280,50,124,1
0360.jpg,31,67,1,58,1
0360.jpg,11,48,1,47,1
0361.jpg,6,65,232,286,1
0362.jpg,9,42,98,143,1
0362.jpg,1,32,107,153,1
0364.jpg,182,203,107,143,1
0365.jpg,80,109,119,137,1
0365.jpg,77,106,128,152,1
0366.jpg,177,229,209,233,1
0366.jpg,176,229,223,239,1
0366.jpg,172,227,233,251,1
0366.jpg,170,228,242,268,1
0368.jpg,123,163,62,91,1
0369.jpg,127,165,195,248,1
0369.jpg,136,176,199,253,1
0369.jpg,153,187,205,261,1
0369.jpg,132,155,270,299,1
0369.jpg,146,170,271,299,1
0370.jpg,1,48,135,161,1
0370.jpg,1,49,111,136,1
0370.jpg,1,47,189,213,1
0371.jpg,173,190,250,299,1
0371.jpg,183,205,250,299,1
0371.jpg,195,247,77,102,1
0372.jpg,257,299,158,217,1
0372.jpg,112,165,247,299,1
0373.jpg,163,218,107,164,1
0373.jpg,179,237,95,153,1
0373.jpg,199,254,82,140,1
0374.jpg,80,133,35,72,1
0374.jpg,61,104,4,48,1
